;mouse_oral_LD50;aromatic;molecular_weight;xlogp;tpsa;complexity;charge;h_bond_donor_count;h_bond_acceptor_count;rotatable_bond_count;atom_stereo_count;canonical_smiles
0;2.652668567;1.0;110.11;0.6;40.5;54.9;0.0;2.0;2.0;0.0;0.0;Oc1ccc(O)cc1
1;3.697192622;0.0;189.22;0.5;41.1;194.0;0.0;0.0;4.0;3.0;0.0;S=P(N1CC1)(N1CC1)N1CC1
2;3.726179198;0.0;290.8;3.8;0.0;104.0;0.0;0.0;0.0;0.0;0.0;ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
3;1.949783571;0.0;129.16;-1.3;91.5;132.0;0.0;3.0;1.0;2.0;0.0;CN(C)C(=N)N=C(N)N
4;1.471763896;1.0;148.16;2.1;37.3;155.0;0.0;1.0;2.0;2.0;0.0;O=C(O)C=Cc1ccccc1
5;0.573216353;0.0;156.26;3.8;17.1;78.9;0.0;0.0;1.0;8.0;0.0;CCCCCCCCCC=O
6;1.908988723;1.0;162.18;1.7;26.3;163.0;0.0;0.0;2.0;3.0;0.0;COc1ccccc1C=CC=O
7;2.530372221;1.0;166.17;2.0;46.5;167.0;0.0;1.0;3.0;2.0;0.0;COc1ccc(C(C)=O)c(O)c1
8;0.944788545;0.0;176.12;-1.8;104.0;202.0;0.0;3.0;6.0;2.0;4.0;O=CC(O)C1OC(=O)C(O)C1O
9;1.532870543;1.0;198.17;1.3;87.0;193.0;0.0;3.0;5.0;3.0;0.0;CCOC(=O)c1cc(O)c(O)c(O)c1
10;1.611419514;0.0;204.35;6.1;0.0;284.0;0.0;0.0;0.0;3.0;3.0;C=CC1(C)CCC(C(=C)C)CC1C(=C)C
11;1.824631279;0.0;282.33;2.8;54.0;452.0;0.0;0.0;5.0;0.0;7.0;CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4
12;3.07098452;1.0;294.4;2.5;66.8;293.0;0.0;2.0;4.0;10.0;1.0;CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1
13;2.167894533;0.0;294.4;5.4;74.6;432.0;0.0;2.0;4.0;10.0;0.0;CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O
14;2.110582037;0.0;300.4;6.3;37.3;567.0;0.0;1.0;2.0;5.0;0.0;CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O
15;2.280712075;1.0;305.4;0.9;70.0;396.0;0.0;2.0;5.0;5.0;5.0;CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C(O)C2
16;3.81095263;1.0;305.4;3.6;58.6;341.0;0.0;2.0;3.0;9.0;0.0;COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O
17;2.123136141;0.0;374.6;8.2;43.4;526.0;0.0;0.0;3.0;16.0;0.0;CCCCCCC=CCCCCCCCCCC1=CC(=O)C=C(OC)C1=O
18;3.956674549;0.0;384.6;7.9;20.2;610.0;0.0;1.0;1.0;6.0;5.0;C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C
